;Wer kämpft, der kann verlieren, wer nicht kämpft, hat schon verloren.
Albert Einstein;Wer sich nicht mehr wundern kann, ist seelisch bereits tot.
Konfuzius;Wer einen Fehler gemacht hat und ihn nicht korrigiert, begeht einen zweiten.
Goethe;Entscheide lieber ungefähr richtig, als genau falsch.
Mahatma Gandhi;Der Schwache kann nicht verzeihen. Verzeihen ist eine Eigenschaft des Starken.
Cate Blanchett;Wenn du weißt, dass du etwas vermasseln wirst, dann vermassel es wenigstens ordentlich.
Sokrates;Sei, was du scheinen willst.
Abraham Lincoln;Wenn du den wahren Charakter eines Menschen erkennen willst, dann gib ihm Macht.
Karl Ferdinand Gutzkow;Von einem Baum, der noch in Blüte steht, musst du nicht schon Früchte erwarten.
Fernando Magellan;Wer an der Küste bleibt, kann keine neuen Ozeane entdecken.
Ernst Ferstl;Auch Umwege erweitern unseren Horizont.
Charlie Chaplin;Jeder Tag, an dem du nicht lächelst, ist ein verlorener Tag.
Mark Twain;Gib jedem Tag die Chance, der schönste deines Lebens zu werden.
Albert Einstein;Wenige sind imstande, von den Vorurteilen der Umgebung abweichende Meinungen gelassen auszusprechen; die meisten sind sogar unfähig, überhaupt zu solchen Meinungen zu gelangen.
Marie von Ebner-Eschenbach;Merkmal großer Menschen ist, daß sie an andere weit geringere Anforderungen stellen als an sich selbst.
Humphrey Bogart;Ein kluger Mann widerspricht nie einer Frau. Er wartet, bis sie es selbst tut.
Johann Wolfgang von Goethe;Alles Gescheite ist schon gedacht worden, man muß nur versuchen, es noch einmal zu denken.
Alexander Eilers;Man zog an einem Strang, aber in unterschiedliche Richtungen.
Sigmund Graff;Die öffentliche Meinung gleicht einem Schloßgespenst: Niemand hat es gesehen, aber alle lassen sich von ihm tyrannisieren.
Carl Peter Fröhlich;Kunst ist, im Unglück noch eine Spur neuen Glücks zu wittern.
Novalis;Schlafen ist Verdauen der Sinneseindrücke, Träume sind die Exkremente.
William James;Wenn du eine Entscheidung treffen sollst und du triffst keine, so ist das auch eine.
Oswald Spengler;Es ist selten, daß ein Mensch weiß, was er eigentlich glaubt.
John Bottomley;Amerika ist ein Land, in dem viele Männer als Tellerwäscher angefangen haben und, soweit sie verheiratet sind, auch als Tellerwäscher aufhören.
Antoine de Saint-Exupéry;Man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.
Albert Camus;Glück und Erfolg werden nur dem gegeben, der grossmütig einwilligt, beide zu teilen.
Benjamin Franklin;Mit zwanzig regiert der Wille, mit dreißig der Verstand und mit vierzig das Urteilsvermögen.
Jean Paul Getty;Sparmaßnahmen muß man dann ergreifen, wenn man viel Geld verdient. Sobald man in den roten Zahlen ist, ist es zu spät.
Bertrand Russell;Unbedingt mit zum Glück gehört, manches, was man möchte, nicht zu haben.
Ambrose Bierce;Gehirn: ein Organ, mit dem wir denken, daß wir denken.
Hans Christian Andersen;Wenn man sich von den Bergen entfernt, so erblickt man sie erst recht in ihrer wahren Gestalt; so ist es auch mit Freunden.
Henri Stendhal;Das wahre Vaterland ist das Land, wo man die meisten Menschen trifft, die einem gleichen.
Thomas von Aquin;Mag auch das Böse sich noch so sehr vervielfachen, niemals vermag es das Gute ganz aufzuzehren.
George Bernard Shaw;Die Weisheit eines Menschen mißt man nicht nach seinen Erfahrungen, sondern nach seiner Fähigkeit, Erfahrungen zu machen.
Bertolt Brecht;Das Denken gehört zu den größten Vergnügungen der menschlichen Rasse.
Konfuzius;Der Mensch, der schreit, wird zwar gehört, aber seine Worte werden vergessen - der ruhige Mensch braucht gar nicht zu reden, seine Taten sprechen für sich selbst.
René Descartes;Zweifel ist der Weisheit Anfang.
Dante Alighieri;Wer eine Not erblickt und wartet, bis er zur Hilfe gebeten wird, ist ebenso schlecht, als ob er sie verweigert hätte.
Robert Lembke;Wenn Affen alles nachmachen, nennt man das nicht Mode, sondern Nachahmungstrieb.
Konfuzius;Der Mensch hat dreierlei Wege klug zu handeln: Erstens durch Nachdenken, das ist der edelste. Zweitens durch Nachahmung, das ist der leichteste. Drittens durch Erfahrung, das ist der bitterste.
Sigrun Hopfensperger;Das Leben ist wie eine Kuchenform: Als was wir zur Welt kommen, ist durch diese Form vorgezeichnet. Wie der Kuchen allerdings schmecken wird, das liegt alleine an unseren persönlichen Zutaten!
Bertolt Brecht;Das Schicksal des Menschen ist der Mensch.
Douglas Adams;Noch sind wir zwar keine gefährdete Art, aber es ist nicht so, daß wir nicht oft genug versucht hätten, eine zu werden.
Dalai Lama;Lebe ein gutes, ehrbares Leben - wenn du älter wirst und zurückdenkst, wirst du es ein zweites Mal geniessen können.
Michelangelo;Mit all der Mühe, mit der wir manche unserer Fehler verbergen, könnten wir sie uns leicht abgewöhnen.
Heinz Erhardt;Paradox ist, wenn sich einer im Handumdrehen den Fuss bricht.
Konfuzius;Strebe nicht danach, ein Amt zu erlangen, sondern des Amtes würdig zu werden.
George Bernard Shaw;Geld: ein Mittel, um alles zu haben bis auf einen aufrichtigen Freund, eine uneigennützige Geliebte und eine gute Gesundheit.
Bertolt Brecht;Schwierigkeiten werden nicht dadurch überwunden, dass sie verschwiegen werden.
Isaac Newton;Was wir wissen, ist ein Tropfen, was wir nicht wissen - ein Ozean.
Konfuzius;Der Edle verlangt alles von sich selbst, der Primitive stellt nur Forderungen an andere.
Enrique Castaldo;Wenn eine Frau nicht spricht, soll man sie um Himmels willen nicht unterbrechen.
Eugène Ionesco;Wir glauben, Erfahrungen zu machen, aber die Erfahrungen machen uns.
Henry Louis Mencken;Der Hauptwert des Geldes besteht in der Tatsache, daß man in einer Welt lebt, in der es überbewertet wird.
Vauvenargues;Schnell arbeitender Verstand ist kein Vorteil, wenn er nicht auch zugleich gründlich ist. Die Vollkommenheit einer Uhr besteht nicht darin, schnell, sondern richtig zu gehen.
Isaac Newton;Die Menschen bauen zu viele Mauern und zu wenig Brücken.
Antoine de Saint-Exupéry;Wenn du ein Schiff bauen willst, dann trommle nicht Männer zusammen, um Holz zu beschaffen, Aufgaben zu vergeben und die Arbeit einzuteilen, sondern lehre sie die Sehnsucht nach dem weiten, endlosen Meer.
Johann Heinrich Pestalozzi;Entschlossenheit im Unglück ist immer der halbe Weg zur Rettung.
Gerhard Branstner;Liebe: - eine Gleichung mit zwei Unbekannten.
Johann Gottfried Seume;Das Wort Staatskörper ist sehr passend gewählt; denn man hat bis jetzt wenig daran gedacht, auch Seele hineinzubringen.
Christian Morgenstern;Lachen und Lächeln sind Tor und Pforte, durch die viel Gutes in den Menschen hineinhuschen kann.
Konfuzius;Vergiss Kränkungen, doch vergiss Freundlichkeiten nie.
Theodor Fontane;Erst die Fremde lehrt uns, was wir an der Heimat besitzen.
Erich Fried;Für die Welt bist du irgendjemand, aber für irgendjemand bist du die Welt.
Georg Thomalla;Eine Frau macht sich so lange Gedanken über ihre Zukunft, bis sie einen Mann gefunden hat. Ein Mann dagegen macht sich so lange keine Gedanken über die Zukunft, bis er eine Frau gefunden hat.
Otto Eduard Leopold von Bismarck;Offenheit verdient immer Anerkennung.
Erhard Schümmelfelder;Jeder Krieg beginnt mit einer moralischen Niederlage: der Kapitulation des guten Willens.
Alexander Saheb;In manchen Tätigkeiten kann man sich finden, in anderen verlieren.
Bertolt Brecht;Wer die Wahrheit nicht weiß, der ist bloß ein Dummkopf. Aber wer sie weiß und sie eine Lüge nennt, der ist ein Verbrecher!
Ödön von Horvath;Wenn nur noch Gehorsam gefragt ist und nicht mehr Charakter, dann geht die Wahrheit, und die Lüge kommt.
Epiktet;Wie die Sonne nicht auf Lob und Bitten wartet, um aufzugehen, sondern eben leuchtet und von der ganzen Welt begrüßt wird, so darfst auch Du weder Schmeicheln noch Beifall brauchen, um Gutes zu tun.
Elbert Hubbard;Eine Maschine kann die Arbeit von fünfzig gewöhnlichen Menschen leisten, aber sie kann nicht einen einzigen außergewöhnlichen ersetzen.
Theodor Fontane;Wenn man glücklich ist, soll man nicht noch glücklicher sein wollen.
Wolfgang Herbst;Persönlichkeit ist, was übrig bleibt, wenn man Ämter, Orden und Titel von einer Person abzieht.
Theodor Fontane;Leicht zu leben ohne Leichtsinn, heiter zu sein ohne Ausgelassenheit, Mut zu haben ohne Übermut - das ist die Kunst des Lebens.
Joseph Addison;Jeder Mensch sollte sich immer vor Augen halten, wie viel mehr er besitzt, als er braucht, und wie viel unglücklicher er sein könnte, als er wirklich ist.
Carl Gustav Jung;Denken ist schwer, darum urteilen die meisten.
Miguel de Cervantes Saavedra;Ein Sprichwort ist ein kurzer Satz, der sich auf lange Erfahrung gründet.
Gilbert Keith Chesterton;Schweigen ist die unerträglichste Erwiderung.
Jo Herbst;Beim gesellschaftlichen Aufstieg empfiehlt es sich, freundlich zu den Überholten zu sein. Man begegnet ihnen beim Abstieg wieder.
Curt Goetz;Manche Leute sprechen aus Erfahrung - und manche aus Erfahrung nicht.
Bob Hope;Du wirst alt, wenn die Kerzen mehr kosten als der Geburtstagskuchen.
Bertolt Brecht;Liebe ist der Wunsch, etwas zu geben, nicht zu erhalten.
Ludwig Börne;Es kann das Volk sein eigener Tyrann sein, und es ist es oft gewesen.
Christian Fürchtegott Gellert;Es ist mit unseren Urteilen wie mit unseren Uhren. Keine geht mit der anderen vollkommen gleich, und jeder glaubt doch der seinigen.
Rupert Schützbach;Die Menschen sind durchaus lernfähig, besonders was das Vergessen angeht.
Peter Altenberg;Die geschickteste Art, einen Konkurrenten zu besiegen, ist, ihn in dem zu bewundern, worin er besser ist.
George Bernard Shaw;Warum bekommt der Mensch die Jugend in einem Alter, in dem er nichts davon hat?
Australisches Sprichwort;Je öfter du unterwegs fragst, wie weit du noch zu gehen hast, umso länger wird dir der Weg erscheinen.
Henry Miller;Alle grossen Verführer wissen, dass man Frauen erst die Augen öffnen muss, damit sie sie schliessen können.
Arabisches Sprichwort;Schöne Frauen sind eine Woche lang gut, gute Frauen ein Leben lang schön.
Kurt Tucholsky;Erfahrungen vererben sich nicht - jeder muß sie allein machen.
Graf Fito;Einmal dachte ich, ich hätte unrecht. Aber ich hatte mich ausnahmsweise getäuscht.
Jean Paul Sartre;Wenn man sieht, was die Medizin heute fertigbringt, fragt man sich unwillkürlich: Wie viele Etagen hat der Tod?
Christian Morgenstern;Wer sich selbst treu bleiben will, kann nicht immer anderen treu bleiben.
Mark Twain;Wir lieben Menschen, die frisch heraus sagen, was sie denken. Vorausgesetzt, sie denken dasselbe wie wir.
Grethe Weiser;Das grösste Kompliment, das ein Mann einer Frau machen kann, ist ein Heiratsantrag. Leider ist es meist auch das letzte.
Sacha Guitry;Es ist besser, eine Frau zu haben, mit der man nicht leben kann, als eine, ohne die man nicht leben kann.
Paulo Coelho;Der Mensch will immer, dass alles anders wird, und gleichzeitig will er, dass alles beim Alten bleibt.
;Keiner ist unnütz. Er kann immer noch als abschreckendes Beispiel dienen.
Winston Churchill;Es gibt drei Sorten von Menschen: solche, die sich zu Tode sorgen; solche, die sich zu Tode arbeiten; und solche, die sich zu Tode langweilen.
Josh Billings;Viele Menschen halten ihre Phantasie für ihr Gedächtnis.
Eugene O'Neill;Ein zufriedener Strassenkehrer ist mehr wert als ein neurotischer Professor.
Gerhard Uhlenbruck;Was manche Leute sich selbst vormachen, das macht ihnen so schnell keiner nach.
Anselm Feuerbach;Niemand urteilt schärfer als der Ungebildete, er kennt weder Gründe noch Gegengründe.
Mark Twain;Freude lässt sich nur voll auskosten, wenn sich ein anderer mitfreut.
Jean Anouilh;Das Leben besteht aus vielen kleinen Münzen, und wer sie aufzuheben versteht, der hat ein Vermögen.
Alexander Saheb;Manchmal führt der Ausweg durch das Hindernis.
Plato;Indem wir das Wohl anderer erstreben, fördern wir unser eigenes.
Lao-tse;Reich ist, wer weiß, dass er genug hat.
Marie von Ebner-Eschenbach;'Man kann nicht allen helfen', sagt der Engherzige und hilft keinem.
Alexander Mitscherlich;Viele möchten leben, ohne zu altern, und sie altern in Wirklichkeit ohne zu leben.
Ernst Ferstl;Die Musikalität mancher Zeitgenossen beschränkt sich ausschließlich auf das Spucken großer Töne.
Chinesisches Sprichwort;Höflichkeit ist eine Münze, die nur den bereichert, der sie ausgibt.
Paul Adrien Maurice Dirac;In der Wissenschaft versucht man etwas, das niemand wußte, auf eine Weise zu sagen, die jeder versteht. In der Dichtung verhält es sich gerade umgekehrt.
Gerhard Uhlenbruck;Eigene Niederlagen lassen sich auf die Dauer nur vermeiden, indem man sich immer wieder selbst besiegt.
